Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
165,2016-08-01 00:09:40,2016-08-01 00:12:25,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3273,Manila & 1st,40.721650724879986,-74.04288411140442,24679,Subscriber,1968,1
705,2016-08-01 01:45:08,2016-08-01 01:56:53,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3206,Hilltop,40.7311689,-74.0575736,24530,Subscriber,1978,1
854,2016-08-01 02:22:26,2016-08-01 02:36:41,3183,Exchange Place,40.7162469,-74.0334588,3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,24649,Subscriber,1988,1
211,2016-08-01 03:05:10,2016-08-01 03:08:41,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73074262530658,-74.06378388404846,24624,Subscriber,1986,1
506,2016-08-01 03:25:42,2016-08-01 03:34:09,3195,Sip Ave,40.73074262530658,-74.06378388404846,3193,Lincoln Park,40.7246050998869,-74.07840594649315,24624,Subscriber,1986,1
132,2016-08-01 04:17:50,2016-08-01 04:20:03,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24663,Subscriber,1965,1
172,2016-08-01 04:41:49,2016-08-01 04:44:41,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24559,Subscriber,1982,1
776,2016-08-01 05:14:20,2016-08-01 05:27:17,3207,Oakland Ave,40.7376037,-74.0524783,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,24532,Subscriber,1984,2
629,2016-08-01 05:18:08,2016-08-01 05:28:37,3212,Christ Hospital,40.734785818,-74.050443636,3195,Sip Ave,40.73074262530658,-74.06378388404846,24561,Subscriber,1965,1
325,2016-08-01 05:20:48,2016-08-01 05:26:13,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074262530658,-74.06378388404846,24721,Subscriber,1958,1
461,2016-08-01 05:39:37,2016-08-01 05:47:18,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24470,Subscriber,1977,1
